Emp Code,Name,Age,Department,Salary,Origin,Passport No,Passport Expiry Date
2063,Hafez,54,Operation,780,Kuwait,65556,2025-10-13
2064,Mousa,35,Finance,750,Kuwait,12445,2023-02-02
2065,Alaa,26,Management,650,Jordan,21346,2023-05-03
2066,Khalid,35,Finance,650,Palestine,88445,2025-10-13
2067,Jouly,36,Management,700,Oman,54412,2023-02-02
2068,Ali,34,Management,800,Kuwait,65556,2023-05-03
2069,Ahmed,57,Management,700,Kuwait,12445,2025-10-13
2070,Moustafa,61,Operation,750,Kuwait,21346,2023-02-02
2071,Omar,84,Operation,1000,Jordan,88445,2023-05-03
2072,Somaya,51,Finance,1200,Palestine,54412,2025-10-13
2073,Rana,41,Management,780,Oman,65556,2023-02-02
2074,Kholoud,44,Finance,750,Saudi Arabia,12445,2023-05-03
2075,Lara,36,Management,650,Kuwait,21346,2025-10-13
2076,Hafez,42,Management,650,Kuwait,88445,2023-02-02
2077,Mousa,35,Management,700,Jordan,54412,2023-05-03
2078,Alaa,64,Operation,800,Palestine,65556,2025-10-13
2079,Khalid,54,Operation,700,Oman,12445,2023-02-02
2080,Jouly,57,Finance,750,Kuwait,21346,2023-05-03
2081,Ali,54,Management,1000,Kuwait,88445,2025-10-13
2082,Ahmed,61,Finance,1200,Kuwait,54412,2023-02-02
2083,Moustafa,54,Management,780,Jordan,65556,2023-05-03
2084,Omar,35,Management,750,Palestine,12445,2025-10-13
2085,Somaya,26,Management,650,Oman,21346,2023-02-02
2086,Rana,35,Operation,650,Saudi Arabia,88445,2023-05-03
2087,Kholoud,36,Operation,700,Kuwait,54412,2025-10-13
2088,Lara,34,Finance,800,Kuwait,65556,2023-02-02
2089,Hafez,57,Management,700,Jordan,12445,2023-05-03
2090,Mousa,61,Finance,750,Palestine,21346,2025-10-13
2091,Alaa,84,Management,1000,Oman,88445,2023-02-02
2092,Khalid,51,Management,1200,Kuwait,54412,2023-05-03
2093,Jouly,41,Management,780,Kuwait,65556,2025-10-13
2094,Ali,44,Operation,750,Kuwait,12445,2023-02-02
2095,Ahmed,36,Operation,650,Jordan,21346,2023-05-03
2096,Moustafa,42,Finance,650,Palestine,88445,2025-10-13
2097,Omar,35,Management,700,Oman,54412,2023-02-02
2098,Somaya,64,Operation,800,Saudi Arabia,65556,2023-05-03
2099,Rana,54,Operation,700,Kuwait,12445,2025-10-13
2100,Kholoud,57,Finance,750,Kuwait,21346,2023-02-02
